#time,accel_x,accel_y,accel_z
1224.378630,1036.288319,-1036.288319,-77835.302597
1224.381251,888.247130,-1184.329507,-77528.864398
1224.383873,740.205942,-888.247130,-78141.740796
1224.386495,1036.288319,-1184.329507,-78448.178995
1224.389117,296.082377,-592.164754,-77988.521696
1224.391738,1184.329507,-444.123565,-77835.302597
1224.394360,1184.329507,-444.123565,-78141.740796
1224.396982,1776.494261,-2960.823768,-78141.740796
1224.399604,4293.194464,-2664.741391,-77069.207099
1224.402225,4293.194464,-4293.194464,-78448.178995
1224.404847,2072.576638,-2664.741391,-76915.987999
1224.407469,3404.947333,-1480.411884,-77988.521696
1224.410091,3701.029710,-1480.411884,-78754.617194
1224.412712,4589.276840,-1776.494261,-77682.083497
1224.415334,6365.771101,-6513.812290,-78294.959896
1224.417956,5773.606348,-12287.418637,-77682.083497
1224.420577,-1184.329507,-11991.336260,-77069.207099
1224.423199,-4737.318029,-3849.070898,-76609.549800
1224.425821,-2220.617826,3256.906145,-77222.426198
1224.428443,6365.771101,7402.059420,-77988.521696
1224.431064,6069.688724,6513.812290,-79061.055394
1224.433686,-2516.700203,2812.782580,-77069.207099
1224.436308,-7698.141797,2812.782580,-75843.454302
1224.438930,-3849.070898,-2812.782580,-78294.959896
1224.441551,2960.823768,-7698.141797,-78448.178995
1224.444173,3701.029710,-5033.400406,-77222.426198
1224.446795,148.041188,1036.288319,-77988.521696
1224.449417,-3997.112087,6069.688724,-76915.987999
1224.452038,-5033.400406,4885.359217,-77682.083497
1224.454660,-4737.318029,1332.370696,-78294.959896
1224.457282,4293.194464,2516.700203,-76762.768900
1224.459904,0.000000,-888.247130,-77682.083497
1224.462525,-1184.329507,148.041188,-77528.864398
1224.465033,-2220.617826,-2812.782580,-77988.521696
1224.467541,-148.041188,-1776.494261,-78294.959896
1224.470049,888.247130,592.164754,-77528.864398
1224.472557,-1776.494261,1184.329507,-79214.274493
1224.475065,-4441.235652,-1628.453072,-78754.617194
1224.477573,-2960.823768,0.000000,-78601.398095
1224.480081,-592.164754,2960.823768,-77988.521696
1224.482589,592.164754,4885.359217,-78754.617194
1224.485097,-592.164754,1332.370696,-78294.959896
1224.487605,592.164754,-296.082377,-78601.398095
1224.490113,-740.205942,2664.741391,-78448.178995
1224.492620,-2664.741391,4145.153275,-77835.302597
1224.495128,-3997.112087,3404.947333,-78754.617194
1224.497636,-296.082377,1480.411884,-78448.178995
1224.500144,2072.576638,-2664.741391,-78754.617194
1224.502652,6365.771101,-3404.947333,-77222.426198
1224.505160,-11103.089130,2368.659014,-78294.959896
1224.507668,-5921.647536,2072.576638,-77375.645298
1224.510176,-3997.112087,1776.494261,-79214.274493
1224.512684,5477.523971,3552.988522,-79214.274493
1224.515192,4885.359217,-1036.288319,-77375.645298
1224.517700,7846.182985,-8586.388927,-76762.768900
1224.520208,592.164754,-3849.070898,-78141.740796
1224.522716,-2368.659014,-4293.194464,-77069.207099
1224.525224,-1924.535449,-6809.894666,-75996.673402
1224.527731,6661.853478,-3552.988522,-79520.712692
1224.530239,7846.182985,1924.535449,-78141.740796
1224.532747,3552.988522,296.082377,-76915.987999
1224.535255,-148.041188,-2072.576638,-77835.302597
1224.537763,1184.329507,-6809.894666,-78907.836294
1224.540271,6365.771101,-6809.894666,-76762.768900
1224.542779,3108.864956,-6957.935855,-78448.178995
1224.545287,3108.864956,-2812.782580,-77375.645298
1224.547795,0.000000,-2072.576638,-77069.207099
1224.550303,888.247130,-1776.494261,-77069.207099
1224.552811,7994.224174,-1036.288319,-78141.740796
1224.555319,1628.453072,888.247130,-78907.836294
1224.557827,2812.782580,-4293.194464,-77069.207099
1224.560335,148.041188,-5773.606348,-78601.398095
1224.562842,2960.823768,-2072.576638,-78294.959896
1224.565418,1628.453072,2368.659014,-77988.521696
1224.567994,2516.700203,-4293.194464,-79214.274493
1224.570570,6957.935855,-2664.741391,-78907.836294
1224.573145,5477.523971,2516.700203,-77069.207099
1224.575721,1036.288319,-3552.988522,-78448.178995
1224.578297,-1332.370696,-4293.194464,-79061.055394
1224.580872,-1184.329507,-2812.782580,-77222.426198
1224.583448,4293.194464,-3108.864956,-77682.083497
1224.586024,7105.977043,-6957.935855,-78141.740796
1224.588600,6957.935855,-8882.471304,-78294.959896
1224.591175,888.247130,-6809.894666,-78294.959896
1224.593751,-1628.453072,-1924.535449,-77222.426198
1224.596327,1480.411884,1184.329507,-78294.959896
1224.598902,6809.894666,-2072.576638,-79061.055394
1224.601478,5773.606348,-4293.194464,-78448.178995
1224.604054,740.205942,1924.535449,-77222.426198
1224.606630,-1332.370696,-1036.288319,-78448.178995
1224.609205,2664.741391,-8142.265362,-78141.740796
1224.611781,2664.741391,-5033.400406,-78601.398095
1224.614357,888.247130,2664.741391,-78294.959896
1224.616933,-3552.988522,-296.082377,-77069.207099
1224.619508,-4589.276840,4589.276840,-77835.302597
1224.622084,-3404.947333,3997.112087,-79673.931792
1224.624660,296.082377,5329.482782,-76149.892501
1224.627235,2516.700203,-148.041188,-79061.055394
1224.629811,3701.029710,-4737.318029,-77988.521696
1224.632387,-4589.276840,-1480.411884,-77375.645298
1224.634963,-6661.853478,-888.247130,-77988.521696
