#time,accel_x,accel_y,accel_z
1274.708689,2072.576638,-1184.329507,-78294.959896
1274.711120,1480.411884,-1036.288319,-77988.521696
1274.713551,148.041188,-444.123565,-78601.398095
1274.715983,1184.329507,-1036.288319,-78294.959896
1274.718414,888.247130,-1184.329507,-78448.178995
1274.720845,444.123565,-444.123565,-78448.178995
1274.723276,1184.329507,-888.247130,-78141.740796
1274.725707,888.247130,-740.205942,-78601.398095
1274.728138,888.247130,-296.082377,-78294.959896
1274.730569,740.205942,-444.123565,-78141.740796
1274.733000,1480.411884,-740.205942,-77528.864398
1274.735431,1036.288319,-296.082377,-78141.740796
1274.737863,592.164754,-888.247130,-77069.207099
1274.740294,1332.370696,-592.164754,-78294.959896
1274.742725,1332.370696,-444.123565,-77988.521696
1274.745156,1776.494261,-148.041188,-77988.521696
1274.747587,740.205942,-740.205942,-78448.178995
1274.750018,888.247130,-740.205942,-78754.617194
1274.752449,2072.576638,-148.041188,-78754.617194
1274.754880,1628.453072,-1036.288319,-78294.959896
1274.757311,1036.288319,-444.123565,-78448.178995
1274.759742,740.205942,-740.205942,-78448.178995
1274.762174,1776.494261,-1332.370696,-78141.740796
1274.764605,592.164754,-740.205942,-78448.178995
1274.767036,5625.565159,-888.247130,-77528.864398
1274.769467,1184.329507,-444.123565,-78754.617194
1274.771898,24722.878463,-1628.453072,-76762.768900
1274.774329,-3256.906145,-2072.576638,-81206.122788
1274.776760,22354.219448,-740.205942,-77222.426198
1274.779191,-148.041188,444.123565,-71706.538613
1274.781706,-1332.370696,-2368.659014,-81359.341888
1274.784198,2220.617826,-6069.688724,-75383.797003
1274.786690,1036.288319,2516.700203,-78448.178995
1274.789182,12879.583391,-4589.276840,-75383.797003
1274.791674,7698.141797,148.041188,-81206.122788
1274.794166,8290.306550,1924.535449,-75383.797003
1274.796658,-6365.771101,-2516.700203,-80440.027290
1274.799151,-16580.613101,1776.494261,-75690.235202
1274.801643,-11251.130318,-5329.482782,-77682.083497
1274.804135,4589.276840,1036.288319,-76762.768900
1274.806627,20577.725188,-3108.864956,-78141.740796
1274.809119,2960.823768,-296.082377,-77069.207099
1274.811611,2664.741391,-740.205942,-78907.836294
1274.814103,-14063.912898,2664.741391,-76762.768900
1274.816595,-8734.430116,-2368.659014,-80440.027290
1274.819087,-5033.400406,740.205942,-73545.167808
1274.821580,-4737.318029,-2960.823768,-81512.560987
1274.824072,13767.830521,3108.864956,-74924.139704
1274.826564,-17172.777854,-2368.659014,-80133.589091
1274.829056,-6365.771101,1184.329507,-75996.673402
1274.831548,888.247130,-2812.782580,-77375.645298
1274.834040,1628.453072,-592.164754,-77682.083497
1274.836532,-4589.276840,-592.164754,-79673.931792
1274.839024,2664.741391,-888.247130,-76149.892501
1274.841516,-31088.649564,592.164754,-79367.493593
1274.844009,6661.853478,3997.112087,-76303.111601
1274.846501,-4441.235652,-1776.494261,-76456.330700
1274.848993,-3849.070898,740.205942,-81206.122788
1274.851485,-3552.988522,-1628.453072,-72625.853210
1274.853977,-296.082377,-5625.565159,-79520.712692
1274.856469,-3256.906145,2812.782580,-75690.235202
1274.858961,5625.565159,-2516.700203,-77682.083497
1274.861453,-9474.636058,-1036.288319,-77222.426198
1274.863945,-3849.070898,-3256.906145,-78601.398095
1274.866437,-9178.553681,2220.617826,-73698.386908
1274.868930,-4441.235652,-6809.894666,-82891.532884
1274.871422,23242.466579,3701.029710,-74464.482406
1274.873914,13323.706956,-3701.029710,-81972.218286
1274.876406,-1332.370696,3997.112087,-75230.577904
1274.878898,-26203.290347,-4145.153275,-80746.465489
1274.881427,-6661.853478,7698.141797,-73698.386908
1274.883957,16136.489536,-8142.265362,-79673.931792
1274.886486,28719.990550,-592.164754,-76303.111601
1274.889016,6809.894666,-888.247130,-81359.341888
1274.891545,-21317.931130,3997.112087,-75383.797003
1274.894074,-9030.512492,1332.370696,-77222.426198
1274.896604,15248.242405,-5329.482782,-78141.740796
1274.899133,26203.290347,-1036.288319,-79980.369991
1274.901662,19097.313304,-148.041188,-76149.892501
1274.904192,-6661.853478,-740.205942,-79367.493593
1274.906721,-12139.377449,-592.164754,-75996.673402
1274.909250,-9622.677246,-148.041188,-80593.246390
1274.911780,23538.548956,1036.288319,-77222.426198
1274.914309,13915.871710,-3108.864956,-80133.589091
1274.916839,2072.576638,-1332.370696,-76915.987999
1274.919368,-5921.647536,-148.041188,-77222.426198
1274.921897,6513.812290,-1628.453072,-77835.302597
1274.924427,-21317.931130,-2072.576638,-80899.684589
1274.926956,18653.189738,1332.370696,-73851.606007
1274.929485,-1924.535449,-6365.771101,-82125.437386
1274.932015,5181.441594,2960.823768,-76609.549800
1274.934544,-296.082377,3701.029710,-76303.111601
1274.937074,5033.400406,-1924.535449,-80899.684589
1274.939603,17912.983796,2812.782580,-76915.987999
1274.942132,-4737.318029,-5625.565159,-79673.931792
1274.944662,18209.066173,-888.247130,-75230.577904
1274.947191,-2368.659014,-5181.441594,-80286.808190
1274.949720,4737.318029,6217.729913,-77682.083497
1274.952250,3552.988522,296.082377,-77069.207099
1274.954779,2664.741391,1184.329507,-78294.959896
1274.957309,4589.276840,592.164754,-77528.864398
1274.959838,9030.512492,-1332.370696,-79061.055394
1274.962367,16728.654289,-1036.288319,-76915.987999
1274.964897,14804.118840,-740.205942,-79520.712692
1274.967426,296.082377,1776.494261,-75537.016103
1274.969955,-8734.430116,-5329.482782,-80440.027290
1274.972485,-9178.553681,1332.370696,-77528.864398
1274.975014,15100.201217,-2220.617826,-79061.055394
1274.977544,16432.571912,-592.164754,-78601.398095
1274.980073,-5773.606348,-2516.700203,-78601.398095
1274.982626,-29756.278868,-1036.288319,-78141.740796
1274.985178,-15840.407159,-1628.453072,-76609.549800
1274.987731,15840.407159,-888.247130,-80286.808190
1274.990284,20873.807564,0.000000,-77069.207099
1274.992837,3552.988522,-1480.411884,-79061.055394
1274.995389,-20429.683999,-1184.329507,-77375.645298
1274.997942,-26351.331535,-1924.535449,-77988.521696
1275.000495,1036.288319,-888.247130,-77682.083497
1275.003047,21465.972318,592.164754,-77835.302597
1275.005600,9770.718434,-2664.741391,-78754.617194
