#time,accel_x,accel_y,accel_z
1428.946609,1036.288319,-1184.329507,-77222.426198
1428.949183,888.247130,-740.205942,-78141.740796
1428.951758,1628.453072,-592.164754,-77835.302597
1428.954332,888.247130,-444.123565,-77835.302597
1428.956906,888.247130,-740.205942,-78294.959896
1428.959480,740.205942,-740.205942,-78601.398095
1428.962055,1924.535449,-1332.370696,-78294.959896
1428.964629,740.205942,-888.247130,-77835.302597
1428.967203,888.247130,-740.205942,-78294.959896
1428.969778,888.247130,-592.164754,-78294.959896
1428.972352,1924.535449,-1480.411884,-77835.302597
1428.974926,740.205942,-888.247130,-77528.864398
1428.977500,1332.370696,-444.123565,-78754.617194
1428.980062,1924.535449,-1036.288319,-78294.959896
1428.982623,1332.370696,-148.041188,-77988.521696
1428.985184,0.000000,-592.164754,-77682.083497
1428.987745,888.247130,-592.164754,-78294.959896
1428.990306,1332.370696,-1480.411884,-77682.083497
1428.992868,148.041188,-444.123565,-77069.207099
1428.995429,296.082377,-592.164754,-78294.959896
1428.997990,1332.370696,-444.123565,-78294.959896
1429.000551,888.247130,-1036.288319,-77835.302597
1429.003112,0.000000,-592.164754,-77528.864398
1429.005674,740.205942,-296.082377,-77835.302597
1429.008235,1628.453072,-1036.288319,-78294.959896
1429.010796,1924.535449,-740.205942,-77835.302597
1429.013357,3552.988522,-296.082377,-77988.521696
1429.015918,888.247130,444.123565,-79061.055394
1429.018480,2812.782580,-5921.647536,-79520.712692
1429.021041,5477.523971,10362.883188,-79673.931792
1429.023602,-592.164754,-13027.624579,-80593.246390
1429.026163,296.082377,-148.041188,-76149.892501
1429.028724,-2664.741391,-7698.141797,-81512.560987
1429.031286,1332.370696,-1924.535449,-77528.864398
1429.033847,-3552.988522,-10362.883188,-77682.083497
1429.036408,-3108.864956,-9918.759623,-77682.083497
1429.038969,-2960.823768,-3701.029710,-78448.178995
1429.041530,-2960.823768,-3701.029710,-77988.521696
1429.044092,0.000000,-5477.523971,-77069.207099
1429.046653,2812.782580,3256.906145,-77528.864398
1429.049214,2220.617826,14508.036463,-76915.987999
1429.051775,4737.318029,10066.800811,-77528.864398
1429.054336,1480.411884,296.082377,-77682.083497
1429.056898,1776.494261,-148.041188,-76149.892501
1429.059459,1776.494261,-6809.894666,-77375.645298
1429.062020,1036.288319,-2960.823768,-78448.178995
1429.064581,2072.576638,-9474.636058,-78601.398095
1429.067142,2072.576638,3256.906145,-77222.426198
1429.069704,-4145.153275,6365.771101,-78907.836294
1429.072265,2960.823768,19245.354492,-75843.454302
1429.074826,-1776.494261,-3701.029710,-80286.808190
1429.077387,888.247130,-4737.318029,-74311.263306
1429.079948,-2516.700203,3997.112087,-76915.987999
1429.082498,2220.617826,2368.659014,-79214.274493
1429.085048,-296.082377,-2664.741391,-78141.740796
1429.087597,2664.741391,-1924.535449,-79367.493593
1429.090147,0.000000,4737.318029,-74924.139704
1429.092697,-1776.494261,3108.864956,-72319.415011
1429.095246,-6217.729913,740.205942,-76609.549800
1429.097796,444.123565,-6513.812290,-77528.864398
1429.100345,-7254.018232,17764.942608,-76456.330700
1429.102895,592.164754,12139.377449,-75230.577904
1429.105445,-2664.741391,6365.771101,-79520.712692
1429.107994,4885.359217,-8438.347739,-80899.684589
1429.110544,-4293.194464,-740.205942,-77222.426198
1429.113094,5181.441594,2072.576638,-78294.959896
1429.115643,296.082377,4885.359217,-79061.055394
1429.118193,5921.647536,2220.617826,-79061.055394
1429.120742,740.205942,7105.977043,-78141.740796
1429.123292,5773.606348,5329.482782,-77069.207099
1429.125842,-740.205942,1036.288319,-74004.825107
1429.128391,-740.205942,-6365.771101,-78294.959896
1429.130941,1036.288319,4885.359217,-79214.274493
1429.133490,1332.370696,-7846.182985,-80440.027290
1429.136040,1628.453072,-3404.947333,-75383.797003
1429.138590,-3701.029710,1184.329507,-77375.645298
1429.141139,3997.112087,-2072.576638,-77682.083497
1429.143689,-3552.988522,-5625.565159,-80133.589091
1429.146239,5625.565159,-6957.935855,-77528.864398
1429.148788,-6069.688724,-4293.194464,-78141.740796
1429.151338,7994.224174,-8438.347739,-75537.016103
1429.153887,-3404.947333,-6661.853478,-80286.808190
1429.156437,5921.647536,-4145.153275,-77682.083497
1429.158987,1332.370696,3108.864956,-77835.302597
1429.161536,2664.741391,8438.347739,-79061.055394
1429.164086,4885.359217,-7105.977043,-78141.740796
1429.166636,1332.370696,-8586.388927,-76303.111601
1429.169185,-444.123565,-8882.471304,-76456.330700
1429.171735,4737.318029,-2960.823768,-77682.083497
1429.174284,1628.453072,-16876.695478,-76303.111601
1429.176834,3256.906145,8586.388927,-76149.892501
1429.179384,4145.153275,-7698.141797,-81052.903688
1429.181933,6365.771101,-4293.194464,-79367.493593
1429.184477,-2072.576638,6661.853478,-75383.797003
1429.187021,2664.741391,148.041188,-81206.122788
1429.189565,6809.894666,-4293.194464,-80286.808190
1429.192109,1332.370696,-6661.853478,-80133.589091
1429.194653,888.247130,9178.553681,-76762.768900
1429.197197,6069.688724,-6365.771101,-81818.999186
1429.199741,3701.029710,-14952.160028,-77375.645298
1429.202285,-444.123565,740.205942,-77375.645298
1429.204829,-2812.782580,-888.247130,-79061.055394
1429.207373,-740.205942,6809.894666,-77069.207099
1429.209917,-592.164754,-7994.224174,-78601.398095
1429.212461,-1480.411884,-6809.894666,-77835.302597
1429.215005,2072.576638,-8882.471304,-77988.521696
1429.217549,-1480.411884,-6809.894666,-75690.235202
1429.220093,-3404.947333,-9178.553681,-79061.055394
1429.222637,2664.741391,-1924.535449,-79673.931792
1429.225181,1924.535449,1776.494261,-79367.493593
1429.227725,1480.411884,-3701.029710,-76456.330700
1429.230269,1184.329507,11695.253884,-75537.016103
1429.232813,4441.235652,888.247130,-78294.959896
1429.235358,2516.700203,6513.812290,-78601.398095
1429.237902,2960.823768,-4293.194464,-78294.959896
1429.240446,1332.370696,-2812.782580,-76915.987999
1429.242990,1924.535449,592.164754,-76762.768900
1429.245534,1924.535449,148.041188,-80133.589091
1429.248078,5773.606348,5033.400406,-79520.712692
1429.250622,4737.318029,12287.418637,-77988.521696
1429.253166,5921.647536,10362.883188,-78448.178995
1429.255710,444.123565,444.123565,-77835.302597
1429.258254,2516.700203,-6513.812290,-77682.083497
1429.260798,888.247130,1036.288319,-77222.426198
1429.263342,1184.329507,-148.041188,-77682.083497
1429.265886,2072.576638,8290.306550,-77682.083497
1429.268430,-592.164754,1924.535449,-79367.493593
1429.270974,1480.411884,2072.576638,-76762.768900
1429.273518,2072.576638,10510.924376,-78754.617194
1429.276062,4885.359217,-2220.617826,-78601.398095
1429.278606,1924.535449,2960.823768,-76762.768900
1429.281150,3404.947333,-2072.576638,-79061.055394
1429.283694,4441.235652,-1924.535449,-76303.111601
1429.286235,6513.812290,1628.453072,-76609.549800
1429.288775,5921.647536,1776.494261,-80899.684589
1429.291316,6217.729913,2664.741391,-78601.398095
1429.293857,-592.164754,7550.100608,-77528.864398
1429.296398,1036.288319,5625.565159,-79673.931792
1429.298939,1776.494261,9178.553681,-79520.712692
1429.301479,5329.482782,-5773.606348,-80286.808190
1429.304020,-3552.988522,1184.329507,-78141.740796
1429.306561,7550.100608,-4737.318029,-78448.178995
1429.309102,-2812.782580,9030.512492,-76609.549800
1429.311643,6809.894666,8882.471304,-78141.740796
1429.314183,-3997.112087,5181.441594,-79061.055394
1429.316724,5033.400406,-3552.988522,-78141.740796
1429.319265,-2664.741391,-2960.823768,-76456.330700
1429.321806,2368.659014,740.205942,-77528.864398
1429.324347,1184.329507,8438.347739,-78141.740796
1429.326888,2516.700203,-11251.130318,-82431.875585
1429.329428,2368.659014,592.164754,-76149.892501
1429.331969,-444.123565,0.000000,-77682.083497
1429.334510,6957.935855,-1628.453072,-76456.330700
1429.337051,-3552.988522,-10066.800811,-81972.218286
1429.339592,5181.441594,-10658.965565,-78907.836294
1429.342132,148.041188,-2368.659014,-76915.987999
1429.344673,2368.659014,-4737.318029,-76762.768900
1429.347214,592.164754,-7254.018232,-78601.398095
1429.349755,888.247130,-9622.677246,-77222.426198
1429.352296,-148.041188,3701.029710,-75996.673402
1429.354836,3849.070898,9770.718434,-77528.864398
1429.357377,-1776.494261,-12139.377449,-78754.617194
1429.359918,1332.370696,-7402.059420,-77835.302597
1429.362459,-1184.329507,-15988.448347,-76149.892501
1429.365000,1184.329507,7550.100608,-76456.330700
1429.367541,-4145.153275,-17320.819043,-77528.864398
1429.370081,-2960.823768,2220.617826,-74617.701505
1429.372622,-296.082377,-5181.441594,-80286.808190
1429.375163,1480.411884,1480.411884,-74464.482406
1429.377704,1036.288319,-2220.617826,-76609.549800
1429.380245,10214.842000,-2368.659014,-81665.780087
1429.382785,3997.112087,-4293.194464,-81206.122788
1429.385326,8882.471304,-1480.411884,-79061.055394
1429.387754,0.000000,1184.329507,-78907.836294
1429.390182,7550.100608,-7846.182985,-78448.178995
1429.392609,-3256.906145,-6513.812290,-79061.055394
1429.395037,5181.441594,-5181.441594,-76915.987999
1429.397464,-296.082377,1184.329507,-78754.617194
1429.399892,-148.041188,-6365.771101,-77835.302597
1429.402320,-4145.153275,-6957.935855,-76609.549800
1429.404747,296.082377,-11103.089130,-79214.274493
1429.407175,-592.164754,-11103.089130,-76456.330700
1429.409603,2812.782580,3701.029710,-76149.892501
1429.412030,-148.041188,-3108.864956,-81512.560987
1429.414458,4589.276840,1332.370696,-78448.178995
1429.416886,-3552.988522,-12287.418637,-78141.740796
1429.419313,6365.771101,16728.654289,-75383.797003
1429.421741,-1924.535449,1184.329507,-81512.560987
1429.424169,148.041188,-4293.194464,-78754.617194
1429.426596,1332.370696,-296.082377,-77988.521696
1429.429024,2812.782580,3108.864956,-76609.549800
1429.431452,-2812.782580,-1184.329507,-76762.768900
1429.433879,4589.276840,-1036.288319,-79980.369991
1429.436307,1184.329507,5625.565159,-78907.836294
1429.438735,8142.265362,10955.047942,-77069.207099
1429.441162,740.205942,11843.295072,-77528.864398
1429.443590,3552.988522,-5625.565159,-79367.493593
1429.446017,1924.535449,-6513.812290,-77528.864398
1429.448445,3849.070898,3256.906145,-77682.083497
1429.450873,5773.606348,4737.318029,-76456.330700
1429.453300,5181.441594,-1776.494261,-76149.892501
1429.455728,5477.523971,12287.418637,-79520.712692
1429.458156,2368.659014,-5773.606348,-79980.369991
